Month,Category,Exports,Imports,Balance
1/1/1997,Food & live animals,596,1075,-479
2/1/1997,Food & live animals,626,1085,-459
3/1/1997,Food & live animals,601,1088,-487
4/1/1997,Food & live animals,610,1255,-645
5/1/1997,Food & live animals,631,1106,-475
6/1/1997,Food & live animals,622,1041,-419
7/1/1997,Food & live animals,593,1059,-466
8/1/1997,Food & live animals,577,1060,-483
9/1/1997,Food & live animals,556,1058,-502
10/1/1997,Food & live animals,606,1053,-447
11/1/1997,Food & live animals,573,1112,-539
12/1/1997,Food & live animals,614,1038,-424
1/1/1998,Food & live animals,655,1058,-403
2/1/1998,Food & live animals,617,1042,-425
3/1/1998,Food & live animals,631,1033,-402
4/1/1998,Food & live animals,620,1056,-436
5/1/1998,Food & live animals,614,1076,-462
6/1/1998,Food & live animals,588,1055,-467
7/1/1998,Food & live animals,598,1069,-471
8/1/1998,Food & live animals,628,1106,-478
9/1/1998,Food & live animals,611,1096,-485
10/1/1998,Food & live animals,564,1083,-519
11/1/1998,Food & live animals,585,1087,-502
12/1/1998,Food & live animals,579,1099,-520
1/1/1999,Food & live animals,558,1062,-504
2/1/1999,Food & live animals,568,1122,-554
3/1/1999,Food & live animals,571,1085,-514
4/1/1999,Food & live animals,589,1041,-452
5/1/1999,Food & live animals,577,1069,-492
6/1/1999,Food & live animals,557,1120,-563
7/1/1999,Food & live animals,547,1120,-573
8/1/1999,Food & live animals,560,1113,-553
9/1/1999,Food & live animals,560,1109,-549
10/1/1999,Food & live animals,595,1112,-517
11/1/1999,Food & live animals,558,1105,-547
12/1/1999,Food & live animals,581,1121,-540
1/1/2000,Food & live animals,583,1149,-566
2/1/2000,Food & live animals,545,1069,-524
3/1/2000,Food & live animals,545,1123,-578
4/1/2000,Food & live animals,553,1131,-578
5/1/2000,Food & live animals,555,1149,-594
6/1/2000,Food & live animals,573,1114,-541
7/1/2000,Food & live animals,588,1152,-564
8/1/2000,Food & live animals,564,1117,-553
9/1/2000,Food & live animals,564,1113,-549
10/1/2000,Food & live animals,569,1130,-561
11/1/2000,Food & live animals,578,1122,-544
12/1/2000,Food & live animals,533,1201,-668
1/1/2001,Food & live animals,581,1214,-633
2/1/2001,Food & live animals,556,1250,-694
3/1/2001,Food & live animals,535,1230,-695
